IndicatorID	IndicatorDesc	Unit	Region	Sex	AgeGroup	YearsOfSchooling	Occupation	2000.FN	2000.Source	2000.Value	2001.FN	2001.Source	2001.Value	2002.FN	2002.Source	2002.Value	2003.FN	2003.Source	2003.Value	2004.FN	2004.Source	2004.Value	2005.FN	2005.Source	2005.Value	2006.FN	2006.Source	2006.Value	2007.FN	2007.Source	2007.Value	2008.FN	2008.Source	2008.Value	2009.FN	2009.Source	2009.Value	2010.FN	2010.Source	2010.Value	2011.FN	2011.Source	2011.Value	2012.FN	2012.Source	2012.Value	2013.FN	2013.Source	2013.Value	2014.FN	2014.Source	2014.Value	2015.FN	2015.Source	2015.Value	2016.FN	2016.Source	2016.Value	2017.FN	2017.Source	2017.Value
8.1.1	Annual growth rate of real GDP per capita	percentage	Gaza	Both	All	All		* Base year for national accounts is 2015	National accounts	-16.85625231	* Base year for national accounts is 2015	National accounts	-5.984531037	* Base year for national accounts is 2015	National accounts	-10.55355635	* Base year for national accounts is 2015	National accounts	18.70548352	* Base year for national accounts is 2015	National accounts	3.977347184	* Base year for national accounts is 2015	National accounts	16.0797469	* Base year for national accounts is 2015	National accounts	-20.25472852	* Base year for national accounts is 2015	National accounts	-9.566516123	* Base year for national accounts is 2015	National accounts	-11.40389832	* Base year for national accounts is 2015	National accounts	4.07730854	* Base year for national accounts is 2015	National accounts	7.857158312	* Base year for national accounts is 2015	National accounts	13.72497368	* Base year for national accounts is 2015	National accounts	3.378904665	* Base year for national accounts is 2015	National accounts	2.064973329	* Base year for national accounts is 2015	National accounts	-17.90985248	* Base year for national accounts is 2015	National accounts	2.591598868	* Base year for national accounts is 2015	National accounts	5.807200929			
8.1.1	Annual growth rate of real GDP per capita	percentage	Pal	Both	All	All		* Base year for national accounts is 2015	National accounts	-11.43745818	* Base year for national accounts is 2015	National accounts	-11.90813078	* Base year for national accounts is 2015	National accounts	-14.96463909	* Base year for national accounts is 2015	National accounts	10.78263487	* Base year for national accounts is 2015	National accounts	7.19045275	* Base year for national accounts is 2015	National accounts	7.460470104	* Base year for national accounts is 2015	National accounts	-6.803231103	* Base year for national accounts is 2015	National accounts	3.377570399	* Base year for national accounts is 2015	National accounts	3.065276154	* Base year for national accounts is 2015	National accounts	5.562633391	* Base year for national accounts is 2015	National accounts	5.009863551	* Base year for national accounts is 2015	National accounts	9.093731834	* Base year for national accounts is 2015	National accounts	3.139364184	* Base year for national accounts is 2015	National accounts	-0.789374851	* Base year for national accounts is 2015	National accounts	-3.113455711	* Base year for national accounts is 2015	National accounts	0.403786294	* Base year for national accounts is 2015	National accounts	2.060127798			
8.1.1	Annual growth rate of real GDP per capita	percentage	West Bank	Both	All	All		* Base year for national accounts is 2015	National accounts	-8.926868218	* Base year for national accounts is 2015	National accounts	-14.293526	* Base year for national accounts is 2015	National accounts	-16.93523303	* Base year for national accounts is 2015	National accounts	6.916856091	* Base year for national accounts is 2015	National accounts	8.999040542	* Base year for national accounts is 2015	National accounts	2.937101885	* Base year for national accounts is 2015	National accounts	1.295342909	* Base year for national accounts is 2015	National accounts	9.579286369	* Base year for national accounts is 2015	National accounts	8.838967976	* Base year for national accounts is 2015	National accounts	6.144989772	* Base year for national accounts is 2015	National accounts	4.223814686	* Base year for national accounts is 2015	National accounts	7.722810793	* Base year for national accounts is 2015	National accounts	3.199604143	* Base year for national accounts is 2015	National accounts	-1.657112309	* Base year for national accounts is 2015	National accounts	2.498716142	* Base year for national accounts is 2015	National accounts	-0.094454205	* Base year for national accounts is 2015	National accounts	0.756479231			
8.2.1	Annual growth rate of real GDP per employed person	percentage	Gaza	Both	All	All					* Base year for national accounts is 2015; ** MDG indicator	National Accounts Statistics	28.96312572	* Base year for national accounts is 2015; ** MDG indicator	National Accounts Statistics	-9.039187414	* Base year for national accounts is 2015; ** MDG indicator	National Accounts Statistics	-5.566525049	* Base year for national accounts is 2015; ** MDG indicator	National Accounts Statistics	15.87724358	* Base year for national accounts is 2015; ** MDG indicator	National Accounts Statistics	5.864203639	* Base year for national accounts is 2015; ** MDG indicator	National Accounts Statistics	-14.51207892	* Base year for national accounts is 2015; ** MDG indicator	National Accounts Statistics	-21.23498433	* Base year for national accounts is 2015; ** MDG indicator	National Accounts Statistics	3.284261065	* Base year for national accounts is 2015; ** MDG indicator	National Accounts Statistics	1.088251691	* Base year for national accounts is 2015; ** MDG indicator	National Accounts Statistics	8.794472183	* Base year for national accounts is 2015; ** MDG indicator	National Accounts Statistics	-6.612945619	* Base year for national accounts is 2015; ** MDG indicator	National Accounts Statistics	1.699318182	* Base year for national accounts is 2015; ** MDG indicator	National Accounts Statistics	1.376914469	* Base year for national accounts is 2015; ** MDG indicator	National Accounts Statistics	-9.018802036	* Base year for national accounts is 2015; ** MDG indicator	National Accounts Statistics	-4.762757485	* Base year for national accounts is 2015; ** MDG indicator	National Accounts Statistics	3.854323172			
8.2.1	Annual growth rate of real GDP per employed person	percentage	Pal	Both	All	All					* Base year for national accounts is 2015; ** MDG indicator	National Accounts Statistics	9.492106838	* Base year for national accounts is 2015; ** MDG indicator	National Accounts Statistics	-7.992450607	* Base year for national accounts is 2015; ** MDG indicator	National Accounts Statistics	-4.776544103	* Base year for national accounts is 2015; ** MDG indicator	National Accounts Statistics	7.963159886	* Base year for national accounts is 2015; ** MDG indicator	National Accounts Statistics	0.967234027	* Base year for national accounts is 2015; ** MDG indicator	National Accounts Statistics	-8.649272206	* Base year for national accounts is 2015; ** MDG indicator	National Accounts Statistics	-1.909029697	* Base year for national accounts is 2015; ** MDG indicator	National Accounts Statistics	10.85337438	* Base year for national accounts is 2015; ** MDG indicator	National Accounts Statistics	0.961720223	* Base year for national accounts is 2015; ** MDG indicator	National Accounts Statistics	3.585781888	* Base year for national accounts is 2015; ** MDG indicator	National Accounts Statistics	-1.65341001	* Base year for national accounts is 2015; ** MDG indicator	National Accounts Statistics	1.338430013	* Base year for national accounts is 2015; ** MDG indicator	National Accounts Statistics	-2.166860165	* Base year for national accounts is 2015; ** MDG indicator	National Accounts Statistics	-4.255423777	* Base year for national accounts is 2015; ** MDG indicator	National Accounts Statistics	-1.671475484	* Base year for national accounts is 2015; ** MDG indicator	National Accounts Statistics	3.104040555			
8.2.1	Annual growth rate of real GDP per employed person	percentage	West Bank	Both	All	All					* Base year for national accounts is 2015; ** MDG indicator	National Accounts Statistics	2.024468598	* Base year for national accounts is 2015; ** MDG indicator	National Accounts Statistics	-7.805418304	* Base year for national accounts is 2015; ** MDG indicator	National Accounts Statistics	-4.762271453	* Base year for national accounts is 2015; ** MDG indicator	National Accounts Statistics	4.706611713	* Base year for national accounts is 2015; ** MDG indicator	National Accounts Statistics	-2.06846666	* Base year for national accounts is 2015; ** MDG indicator	National Accounts Statistics	-4.491046825	* Base year for national accounts is 2015; ** MDG indicator	National Accounts Statistics	7.755534404	* Base year for national accounts is 2015; ** MDG indicator	National Accounts Statistics	13.01954929	* Base year for national accounts is 2015; ** MDG indicator	National Accounts Statistics	0.816554537	* Base year for national accounts is 2015; ** MDG indicator	National Accounts Statistics	1.823001391	* Base year for national accounts is 2015; ** MDG indicator	National Accounts Statistics	0.835226814	* Base year for national accounts is 2015; ** MDG indicator	National Accounts Statistics	1.242599991	* Base year for national accounts is 2015; ** MDG indicator	National Accounts Statistics	-3.437221427	* Base year for national accounts is 2015; ** MDG indicator	National Accounts Statistics	-3.487179308	* Base year for national accounts is 2015; ** MDG indicator	National Accounts Statistics	-0.18128014	* Base year for national accounts is 2015; ** MDG indicator	National Accounts Statistics	3.085465863			
8.3.1	Proportion of informal employment in non-agriculture employment, by sex	percentage	Gaza	Both	All	All																														Labour Force Survey (LFS)	37.2		Labour Force Survey (LFS)	40.3		Labour Force Survey (LFS)	45.9		Labour Force Survey (LFS)	47		Labour Force Survey (LFS)	47		Labour Force Survey (LFS)	42.4		Labour Force Survey (LFS)	52.6		Labour Force Survey (LFS)	54.1		Labour Force Survey (LFS)	49.4
8.3.1	Proportion of informal employment in non-agriculture employment, by sex	percentage	Pal	Both	All	All																														Labour Force Survey (LFS)	54.5		Labour Force Survey (LFS)	51.7		Labour Force Survey (LFS)	50.1		Labour Force Survey (LFS)	50.9		Labour Force Survey (LFS)	51.9		Labour Force Survey (LFS)	51.2		Labour Force Survey (LFS)	58.2		Labour Force Survey (LFS)	59.2		Labour Force Survey (LFS)	56.6
8.3.1	Proportion of informal employment in non-agriculture employment, by sex	percentage	Pal	Females	All	All																														Labour Force Survey (LFS)	52.5		Labour Force Survey (LFS)	39.7		Labour Force Survey (LFS)	40.3		Labour Force Survey (LFS)	39.7		Labour Force Survey (LFS)	42.2		Labour Force Survey (LFS)	46.1		Labour Force Survey (LFS)	45.8		Labour Force Survey (LFS)	43.9		Labour Force Survey (LFS)	39.5
8.3.1	Proportion of informal employment in non-agriculture employment, by sex	percentage	Pal	Males	All	All																														Labour Force Survey (LFS)	54.9		Labour Force Survey (LFS)	53.8		Labour Force Survey (LFS)	51.9		Labour Force Survey (LFS)	52.9		Labour Force Survey (LFS)	53.5		Labour Force Survey (LFS)	52.2		Labour Force Survey (LFS)	60.6		Labour Force Survey (LFS)	62		Labour Force Survey (LFS)	59.6
