IndicatorID	IndicatorDesc	Source	Unit	Period	Region	Sex	AgeGroup	YearsOfSchooling	Occupation	Value	FN
8.1.1	Annual growth rate of real GDP per capita	National accounts	percentage	2000	Pal	Both	All	All		-11.43745818	* Base year for national accounts is 2015
8.1.1	Annual growth rate of real GDP per capita	National accounts	percentage	2001	Pal	Both	All	All		-11.90813078	* Base year for national accounts is 2015
8.1.1	Annual growth rate of real GDP per capita	National accounts	percentage	2002	Pal	Both	All	All		-14.96463909	* Base year for national accounts is 2015
8.1.1	Annual growth rate of real GDP per capita	National accounts	percentage	2003	Pal	Both	All	All		10.78263487	* Base year for national accounts is 2015
8.1.1	Annual growth rate of real GDP per capita	National accounts	percentage	2004	Pal	Both	All	All		7.19045275	* Base year for national accounts is 2015
8.1.1	Annual growth rate of real GDP per capita	National accounts	percentage	2005	Pal	Both	All	All		7.460470104	* Base year for national accounts is 2015
8.1.1	Annual growth rate of real GDP per capita	National accounts	percentage	2006	Pal	Both	All	All		-6.803231103	* Base year for national accounts is 2015
8.1.1	Annual growth rate of real GDP per capita	National accounts	percentage	2007	Pal	Both	All	All		3.377570399	* Base year for national accounts is 2015
8.1.1	Annual growth rate of real GDP per capita	National accounts	percentage	2008	Pal	Both	All	All		3.065276154	* Base year for national accounts is 2015
8.1.1	Annual growth rate of real GDP per capita	National accounts	percentage	2009	Pal	Both	All	All		5.562633391	* Base year for national accounts is 2015
8.1.1	Annual growth rate of real GDP per capita	National accounts	percentage	2010	Pal	Both	All	All		5.009863551	* Base year for national accounts is 2015
8.1.1	Annual growth rate of real GDP per capita	National accounts	percentage	2011	Pal	Both	All	All		9.093731834	* Base year for national accounts is 2015
8.1.1	Annual growth rate of real GDP per capita	National accounts	percentage	2012	Pal	Both	All	All		3.139364184	* Base year for national accounts is 2015
8.1.1	Annual growth rate of real GDP per capita	National accounts	percentage	2013	Pal	Both	All	All		-0.789374851	* Base year for national accounts is 2015
8.1.1	Annual growth rate of real GDP per capita	National accounts	percentage	2014	Pal	Both	All	All		-3.113455711	* Base year for national accounts is 2015
8.1.1	Annual growth rate of real GDP per capita	National accounts	percentage	2015	Pal	Both	All	All		0.403786294	* Base year for national accounts is 2015
8.1.1	Annual growth rate of real GDP per capita	National accounts	percentage	2016	Pal	Both	All	All		2.060127798	* Base year for national accounts is 2015
8.1.1	Annual growth rate of real GDP per capita	National accounts	percentage	2000	West Bank	Both	All	All		-8.926868218	* Base year for national accounts is 2015
8.1.1	Annual growth rate of real GDP per capita	National accounts	percentage	2001	West Bank	Both	All	All		-14.293526	* Base year for national accounts is 2015
8.1.1	Annual growth rate of real GDP per capita	National accounts	percentage	2002	West Bank	Both	All	All		-16.93523303	* Base year for national accounts is 2015
8.1.1	Annual growth rate of real GDP per capita	National accounts	percentage	2003	West Bank	Both	All	All		6.916856091	* Base year for national accounts is 2015
8.1.1	Annual growth rate of real GDP per capita	National accounts	percentage	2004	West Bank	Both	All	All		8.999040542	* Base year for national accounts is 2015
8.1.1	Annual growth rate of real GDP per capita	National accounts	percentage	2005	West Bank	Both	All	All		2.937101885	* Base year for national accounts is 2015
8.1.1	Annual growth rate of real GDP per capita	National accounts	percentage	2006	West Bank	Both	All	All		1.295342909	* Base year for national accounts is 2015
8.1.1	Annual growth rate of real GDP per capita	National accounts	percentage	2007	West Bank	Both	All	All		9.579286369	* Base year for national accounts is 2015
8.1.1	Annual growth rate of real GDP per capita	National accounts	percentage	2008	West Bank	Both	All	All		8.838967976	* Base year for national accounts is 2015
8.1.1	Annual growth rate of real GDP per capita	National accounts	percentage	2009	West Bank	Both	All	All		6.144989772	* Base year for national accounts is 2015
8.1.1	Annual growth rate of real GDP per capita	National accounts	percentage	2010	West Bank	Both	All	All		4.223814686	* Base year for national accounts is 2015
8.1.1	Annual growth rate of real GDP per capita	National accounts	percentage	2011	West Bank	Both	All	All		7.722810793	* Base year for national accounts is 2015
8.1.1	Annual growth rate of real GDP per capita	National accounts	percentage	2012	West Bank	Both	All	All		3.199604143	* Base year for national accounts is 2015
8.1.1	Annual growth rate of real GDP per capita	National accounts	percentage	2013	West Bank	Both	All	All		-1.657112309	* Base year for national accounts is 2015
8.1.1	Annual growth rate of real GDP per capita	National accounts	percentage	2014	West Bank	Both	All	All		2.498716142	* Base year for national accounts is 2015
8.1.1	Annual growth rate of real GDP per capita	National accounts	percentage	2015	West Bank	Both	All	All		-0.094454205	* Base year for national accounts is 2015
8.1.1	Annual growth rate of real GDP per capita	National accounts	percentage	2016	West Bank	Both	All	All		0.756479231	* Base year for national accounts is 2015
8.1.1	Annual growth rate of real GDP per capita	National accounts	percentage	2000	Gaza	Both	All	All		-16.85625231	* Base year for national accounts is 2015
8.1.1	Annual growth rate of real GDP per capita	National accounts	percentage	2001	Gaza	Both	All	All		-5.984531037	* Base year for national accounts is 2015
8.1.1	Annual growth rate of real GDP per capita	National accounts	percentage	2002	Gaza	Both	All	All		-10.55355635	* Base year for national accounts is 2015
8.1.1	Annual growth rate of real GDP per capita	National accounts	percentage	2003	Gaza	Both	All	All		18.70548352	* Base year for national accounts is 2015
8.1.1	Annual growth rate of real GDP per capita	National accounts	percentage	2004	Gaza	Both	All	All		3.977347184	* Base year for national accounts is 2015
